vivienda_id,tipo,personas_ids,cbr_fojas,cbr_numero,cbr_anio,fuente
VIV-0028,propietario,PER-0035,410,369,2003,planilla_socioeconomica · columna marca X
VIV-0029,propietario,PER-0036,4215,3952,1997,planilla_socioeconomica · columna marca X
VIV-0031,propietario,"PER-0038,PER-0039",997,977,1984,planilla_socioeconomica · columna marca X
VIV-0032,usufructuario,PER-0040,1130,1110,1984,planilla_socioeconomica · columna marca X
VIV-0034,propietario,PER-0043,1117,1097,1984,planilla_socioeconomica · columna marca X
VIV-0035,propietario,PER-0045,999,979,1984,planilla_socioeconomica · columna marca X
VIV-0036,propietario,PER-0046,7828,5541,2012,planilla_socioeconomica · columna marca X
VIV-0037,propietario,PER-0047,983,960,1984,planilla_socioeconomica · columna marca X
VIV-0038,propietario,PER-0048,,,,planilla_socioeconomica · columna marca X
VIV-0039,propietario,PER-0049,834,806,1992,planilla_socioeconomica · columna marca X
VIV-0040,propietario,PER-0050,1103,1083,1984,planilla_socioeconomica · columna marca X
VIV-0041,propietario,PER-0051,835,722,1993,planilla_socioeconomica · columna marca X
VIV-0042,propietario,PER-0052,1007,987,1984,planilla_socioeconomica · columna marca X
VIV-0043,propietario,PER-0053,4141,3809,20092,planilla_socioeconomica · columna marca X
VIV-0045,propietario,PER-0055,656,563,1992,planilla_socioeconomica · columna marca X
VIV-0046,propietario,PER-0056,,,,planilla_socioeconomica · columna marca X
VIV-0047,propietario,PER-0057,4225,3962,1997,planilla_socioeconomica · columna marca X
VIV-0048,propietario,PER-0058,1662,1379,1993,planilla_socioeconomica · columna marca X
VIV-0049,propietario,PER-0059,720 V,1070,1964,planilla_socioeconomica · columna marca X
VIV-0050,usufructuario,PER-0060,,,,planilla_socioeconomica · columna marca X
VIV-0051,propietario,PER-0061,1095,1075,1984,planilla_socioeconomica · columna marca X
VIV-0052,propietario,PER-0062,4224,3961,1997,planilla_socioeconomica · columna marca X
VIV-0053,propietario,PER-0063,836,723,1993,planilla_socioeconomica · columna marca X
VIV-0055,propietario,PER-0065,2121,2016,1992,planilla_socioeconomica · columna marca X
VIV-0056,usufructuario,PER-0066,,,,planilla_socioeconomica · columna marca X
VIV-0057,propietario,PER-0067,1038,1018,1984,planilla_socioeconomica · columna marca X
VIV-0058,propietario,PER-0068,2096,1991,1992,planilla_socioeconomica · columna marca X
VIV-0059,propietario,PER-0069,2445,2339,1992,planilla_socioeconomica · columna marca X
VIV-0060,propietario,PER-0070,4383,4032,2001,planilla_socioeconomica · columna marca X
VIV-0061,propietario,PER-0071,4234,3971,1997,planilla_socioeconomica · columna marca X
VIV-0062,propietario,PER-0072,1037,1017,1984,planilla_socioeconomica · columna marca X
VIV-0063,propietario,PER-0073,975,955,1984,planilla_socioeconomica · columna marca X
VIV-0066,usufructuario,PER-0076,3884,3165,2010,planilla_socioeconomica · columna marca X
VIV-0067,propietario,PER-0078,2095,1990,1992,planilla_socioeconomica · columna marca X
VIV-0068,propietario,PER-0079,4233,3970,1997,planilla_socioeconomica · columna marca X
VIV-0069,propietario,PER-0080,4376,4026,2001,planilla_socioeconomica · columna marca X
VIV-0070,propietario,PER-0081,3920,3066,2011,planilla_socioeconomica · columna marca X
VIV-0071,propietario,PER-0082,4228,3965,1997,planilla_socioeconomica · columna marca X
VIV-0072,propietario,PER-0083,1113,1093,1984,planilla_socioeconomica · columna marca X
VIV-0073,propietario,PER-0084,1050,1030,1984,planilla_socioeconomica · columna marca X
VIV-0074,propietario,PER-0085,4295,3950,2001,planilla_socioeconomica · columna marca X
VIV-0075,propietario,PER-0086,4256,3993,1997,planilla_socioeconomica · columna marca X
VIV-0076,propietario,"PER-0087,PER-0088",1576,1519,1991,planilla_socioeconomica · columna marca X
VIV-0077,propietario,PER-0089,8116,6449,2011,planilla_socioeconomica · columna marca X
VIV-0078,propietario,PER-0090,,,,planilla_socioeconomica · columna marca X
VIV-0079,propietario,PER-0091,,,,planilla_socioeconomica · columna marca X
VIV-0080,propietario,PER-0092,3613,3325,2000,planilla_socioeconomica · columna marca X
VIV-0081,propietario,PER-0093,1071,787,2012,planilla_socioeconomica · columna marca X
VIV-0082,propietario,PER-0094,1574,1517,1991,planilla_socioeconomica · columna marca X
VIV-0084,propietario,PER-0096,1572,1515,1991,planilla_socioeconomica · columna marca X
VIV-0085,propietario,PER-0097,1570,1513,1991,planilla_socioeconomica · columna marca X
VIV-0086,propietario,PER-0098,1569,1512,1991,planilla_socioeconomica · columna marca X
VIV-0087,propietario,PER-0099,3191,2970,1997,planilla_socioeconomica · columna marca X
VIV-0088,propietario,PER-0100,2066,1961,1992,planilla_socioeconomica · columna marca X
VIV-0089,propietario,PER-0101,156,142,2002,planilla_socioeconomica · columna marca X
VIV-0090,propietario,PER-0102,2133,2028,1992,planilla_socioeconomica · columna marca X
VIV-0091,propietario,PER-0103,1578,1521,1991,planilla_socioeconomica · columna marca X
VIV-0092,propietario,PER-0104,1580,1523,1991,planilla_socioeconomica · columna marca X
VIV-0093,propietario,PER-0105,48,41,2011,planilla_socioeconomica · columna marca X
VIV-0094,propietario,PER-0106,4330,4032,2004,planilla_socioeconomica · columna marca X
VIV-0095,usufructuario,PER-0107,,1534,1991,planilla_socioeconomica · columna marca X
VIV-0096,usufructuario,PER-0109,1585,1528,1991,planilla_socioeconomica · columna marca X
VIV-0097,propietario,PER-0111,1592,1535,1991,planilla_socioeconomica · columna marca X
VIV-0098,propietario,PER-0112,1593,1536,1991,planilla_socioeconomica · columna marca X
VIV-0099,usufructuario,"PER-0113,PER-0114",1092,1072,1984,planilla_socioeconomica · columna marca X
VIV-0100,usufructuario,PER-0115,3213,2992,1997,planilla_socioeconomica · columna marca X
VIV-0101,propietario,PER-0117,2067,1962,1992,planilla_socioeconomica · columna marca X
VIV-0102,propietario,PER-0118,1026,1006,1984,planilla_socioeconomica · columna marca X
VIV-0103,propietario,PER-0119,1057,1037,1984,planilla_socioeconomica · columna marca X
VIV-0105,propietario,"PER-0121,PER-0122",2442,2326,1992,planilla_socioeconomica · columna marca X
VIV-0106,propietario,PER-0123,1061,1041,1984,planilla_socioeconomica · columna marca X
VIV-0108,propietario,PER-0125,1598,1541,1991,planilla_socioeconomica · columna marca X
VIV-0109,propietario,PER-0126,1596,1529,1991,planilla_socioeconomica · columna marca X
VIV-0110,propietario,"PER-0127,PER-0128",2449,2333,1992,planilla_socioeconomica · columna marca X
VIV-0111,usufructuario,PER-0129,,,,planilla_socioeconomica · columna marca X
VIV-0112,usufructuario,PER-0130,1111,1091,1984,planilla_socioeconomica · columna marca X
VIV-0113,propietario,PER-0132,4237,3974,1997,planilla_socioeconomica · columna marca X
VIV-0114,propietario,PER-0133,2075,1970,1992,planilla_socioeconomica · columna marca X
VIV-0115,propietario,PER-0134,173,159,2002,planilla_socioeconomica · columna marca X
VIV-0117,propietario,PER-0136,4795,3982,2009,planilla_socioeconomica · columna marca X
VIV-0118,propietario,PER-0137,1427,1361,2004,planilla_socioeconomica · columna marca X
VIV-0119,propietario,PER-0138,3150,2138,2012,planilla_socioeconomica · columna marca X
VIV-0121,propietario,PER-0141,4342,4001,2002,planilla_socioeconomica · columna marca X
VIV-0122,propietario,PER-0142,4343,4002,2002,planilla_socioeconomica · columna marca X
VIV-0123,arrendador,PER-0144,4334,3993,2002,planilla_socioeconomica · columna marca X
VIV-0126,propietario,PER-0147,4337,3996,2002,planilla_socioeconomica · columna marca X
VIV-0127,usufructuario,PER-0149,170,156,2002,planilla_socioeconomica · columna marca X
VIV-0128,propietario,PER-0151,,,,planilla_socioeconomica · columna marca X
VIV-0129,propietario,PER-0154,,284,1993,planilla_socioeconomica · columna marca X
VIV-0131,propietario,PER-0156,2106,1086,1984,planilla_socioeconomica · columna marca X
VIV-0132,propietario,PER-0157,,,,planilla_socioeconomica · columna marca X
VIV-0132,usufructuario,PER-0158,,,,planilla_socioeconomica · columna marca X
VIV-0133,propietario,PER-0159,316,283,1993,planilla_socioeconomica · columna marca X
VIV-0134,usufructuario,PER-0161,315,282,1993,planilla_socioeconomica · columna marca X
VIV-0135,propietario,PER-0162,314,281,1993,planilla_socioeconomica · columna marca X
VIV-0136,propietario,PER-0163,4232,3969,1997,planilla_socioeconomica · columna marca X
VIV-0136,usufructuario,PER-0164,4232,3969,1997,planilla_socioeconomica · columna marca X
VIV-0137,propietario,PER-0165,3617,3329,2000,planilla_socioeconomica · columna marca X
VIV-0138,propietario,PER-0166,3614,3326,2000,planilla_socioeconomica · columna marca X
VIV-0139,propietario,PER-0167,3615,3327,2000,planilla_socioeconomica · columna marca X
VIV-0140,propietario,PER-0168,,,,planilla_socioeconomica · columna marca X
VIV-0141,propietario,PER-0169,1700,1505,2006,planilla_socioeconomica · columna marca X
VIV-0142,propietario,PER-0170,4384,4034,2001,planilla_socioeconomica · columna marca X
VIV-0144,propietario,PER-0172,4381,4031,2001,planilla_socioeconomica · columna marca X
VIV-0145,propietario,PER-0173,4450,4143,1,planilla_socioeconomica · columna marca X
VIV-0146,propietario,PER-0174,3186,2965,1997,planilla_socioeconomica · columna marca X
VIV-0147,propietario,PER-0175,4380,4030,2001,planilla_socioeconomica · columna marca X
VIV-0148,propietario,PER-0176,3190,2969,1997,planilla_socioeconomica · columna marca X
VIV-0150,propietario,PER-0178,4368,4018,2001,planilla_socioeconomica · columna marca X
VIV-0152,arrendador,"PER-0180,PER-0181",3183,2962,1997,planilla_socioeconomica · columna marca X
VIV-0153,arrendador,"PER-0182,PER-0183",8438,5981,2012,planilla_socioeconomica · columna marca X
VIV-0154,propietario,PER-0184,3189,2968,1997,planilla_socioeconomica · columna marca X
VIV-0155,propietario,PER-0185,3187,2966,1997,planilla_socioeconomica · columna marca X
VIV-0156,propietario,PER-0186,3188,2967,1997,planilla_socioeconomica · columna marca X
VIV-0158,propietario,PER-0188,3179,2958,1997,planilla_socioeconomica · columna marca X
VIV-0159,propietario,PER-0189,,,,planilla_socioeconomica · columna marca X
VIV-0160,propietario,PER-0190,,,,planilla_socioeconomica · columna marca X
VIV-0161,usufructuario,PER-0191,1100,1080,1984,planilla_socioeconomica · columna marca X
VIV-0163,propietario,PER-0194,1601,1544,1991,planilla_socioeconomica · columna marca X
VIV-0164,arrendador,PER-0195,1603,1546,1991,planilla_socioeconomica · columna marca X
VIV-0165,comodatario,PER-0197,,,,planilla_socioeconomica · columna marca X
VIV-0167,propietario,PER-0199,3170,2949,1997,planilla_socioeconomica · columna marca X
VIV-0168,propietario,PER-0200,3165,2948,1997,planilla_socioeconomica · columna marca X
VIV-0170,propietario,PER-0202,8231,6478,2010,planilla_socioeconomica · columna marca X
VIV-0171,propietario,PER-0203,426,308,2011,planilla_socioeconomica · columna marca X
VIV-0172,propietario,PER-0204,8228,6475,2010,planilla_socioeconomica · columna marca X
VIV-0173,propietario,PER-0205,2360,1886,2009,planilla_socioeconomica · columna marca X
